id;name;email;phone_number;date_of_birth;membership_status
1;celery beck;Javon78@gmail.com;which in;2024-08-11;false
2;since never;Claudine_Kling@hotmail.com;lumbering;2024-08-11;true
3;psst gee bah;Nestor.Smitham60@yahoo.com;since;2024-08-12;false
4;bankroll near although;Daisy_DAmore0@yahoo.com;perfume sleep;2024-08-11;false
5;conk disassemble elicit;Clyde.Altenwerth69@gmail.com;whirlwind gape;2024-08-11;false
6;ferociously mortally indeed;Lennie.Zboncak@hotmail.com;seriously cruelly;2024-08-11;false
7;inside;Armand19@hotmail.com;ick anxiously;2024-08-11;true
8;bronze occasional;Rae22@hotmail.com;creditor profession;2024-08-11;true
9;viciously phew nor;Izabella_Lang@gmail.com;swath loyally;2024-08-11;false
10;double;Matilda_Jacobson99@yahoo.com;yet;2024-08-11;true
